id,text
1,"Tommy Miller"
2,"Billy Bridgeman"
3,"George Hilsdon"
4,"Jock Cameron"
5,"Ben Warren"
6,"Angus Douglas"
7,"Vivian Woodward"
8,"Samuel Downing"
9,"Alec Ormiston"
10,"Bob Whittingham"
11,"Walter Bettridge"
12,"Fred Taylor"
13,"Charlie Freeman"
14,"Jim Molyneux"
15,"Jack Harrow"
16,"Harry Ford"
17,"Harold Halse"
18,"Tommy Logan"
19,"Nils Middelboe[a]"
20,"Bob McNeil"
21,"Jack Cock"
22,"Harry Wilding"
23,"Tommy Meehan"
24,"George W. Smith"
25,"John Priestley"
26,"Albert Thain"
27,"Andy Wilson"
28,"Jackie Crawford"
29,"Harold Miller"
30,"Willie Ferguson"
31,"Leslie Odell"
32,"Tommy Law"
33,"George Rodger"
34,"Sam Millington"
35,"George Pearson"
36,"Willie Russell"
37,"Jack Townrow"
38,"Sid Bishop"
39,"George Mills"
40,"Hughie Gallacher"
41,"George Barber"
42,"Vic Woodley"
43,"Len Allum"
44,"Jimmy Argue"
45,"George Gibson"
46,"Allan Craig"
47,"Dick Spence"
48,"Billy Mitchell"
49,"Harry Burgess"
50,"Sam Weaver"
51,"Len Goulden"
52,"John Harris"
53,"Tommy Walker"
54,"Sydney Bathgate"
55,"Ken Armstrong"
56,"Bill Robertson"
57,"Bobby Campbell"
58,"Roy Bentley"
59,"Stan Willemse"
60,"Eric Parsons"
61,"Les Stubbs"
62,"John McNichol"
63,"Derek Saunders"
64,"Ron Tindall"
65,"Peter Sillett"
66,"Frank Blunstone"
67,"John Sillett"
68,"Peter Brabrook"
69,"John Mortimore"
70,"Jimmy Greaves"
71,"Ken Shellito"
72,"Barry Bridges"
73,"Bobby Tambling"
74,"Peter Bonetti"
75,"Allan Harris"
76,"Terry Venables"
77,"Bert Murray"
78,"Ron Harris"
79,"Eddie McCreadie"
80,"Peter Houseman"
81,"Marvin Hinton"
82,"George Graham"
83,"John Boyle"
84,"Peter Osgood"
85,"John Hollins"
86,"Charlie Cooke"
87,"Tommy Baldwin"
88,"Alan Hudson"
89,"David Webb"
90,"Ian Hutchinson"
91,"John Dempsey"
92,"John Phillips"
93,"Micky Droy"
94,"Ian Britton"
95,"Chris Garland"
96,"Steve Kember"
97,"Gary Stanley"
98,"Bill Garner"
99,"Gary Locke"
100,"Kenny Swain"
101,"Steve Wicks"
102,"Ray Wilkins"
103,"David Hay"
104,"Tommy Langley"
105,"Clive Walker"
106,"John Bumstead"
107,"Mike Fillery"
108,"Petar Borota"
109,"Gary Chivers"
110,"Peter Rhoades-Brown"
111,"Colin Pates"
112,"Chris Hutchings"
113,"Colin Lee"
114,"Paul Canoville"
115,"David Speedie"
116,"Nigel Spackman"
117,"Eddie Niedzwiecki"
118,"Pat Nevin"
119,"Joe McLaughlin"
120,"Kerry Dixon"
121,"Micky Hazard"
122,"Gordon Durie"
123,"Tony Dorigo"
124,"Kevin Wilson"
125,"Graeme Le Saux"
126,"Steve Clarke"
127,"David Lee"
128,"Kevin Hitchcock"
129,"Ken Monkou"
130,"Dave Beasant"
131,"Craig Burley"
132,"Erland Johnsen"
133,"Andy Townsend"
134,"Frank Sinclair"
135,"Eddie Newton"
136,"Dennis Wise"
137,"Andy Myers"
138,"John Spencer"
139,"Dmitri Kharine"
140,"Gavin Peacock"
141,"Michael Duberry"
142,"Mark Hughes"
143,"Dan Petrescu"
144,"Jody Morris"
145,"Gianluca Vialli"
146,"Frank Leboeuf"
147,"Roberto Di Matteo"
148,"Gianfranco Zola"
149,"Tore Andre Flo"
150,"Gustavo Poyet"
151,"Ed de Goey"
152,"Celestine Babayaro"
153,"John Terry"
154,"Albert Ferrer"
155,"Marcel Desailly"
156,"Mario Melchiot"
157,"Carlo Cudicini"
158,"Jesper Gronkjær"
159,"Jimmy Floyd Hasselbaink"
160,"Eiður Guðjohnsen"
161,"William Gallas"
162,"Frank Lampard"
163,"Damien Duff"
164,"Geremi"
165,"Claude Makelele"
166,"Wayne Bridge"
167,"Joe Cole"
168,"Arjen Robben"
169,"Ricardo Carvalho"
170,"Didier Drogba"
171,"Paulo Ferreira"
172,"Petr Cech"
173,"Shaun Wright-Phillips"
174,"Michael Essien"
175,"Michael Ballack"
176,"Salomon Kalou"
177,"Ashley Cole"
178,"John Obi Mikel"
179,"Alex"
180,"Florent Malouda"
181,"Jose Bosingwa"
182,"Nicolas Anelka"
183,"Branislav Ivanovic"
184,"Nemanja Matic"
185,"Fernando Torres"
186,"Ramires"
187,"Juan Mata"
188,"Thibaut Courtois"
189,"David Luiz"
190,"Oscar"
191,"Gary Cahill"
192,"Eden Hazard"
193,"Cesar Azpilicueta"
194,"Victor Moses"
195,"Andreas Christensen"
196,"Willian"
197,"Diego Costa"
198,"Cesc Fabregas"
199,"Kurt Zouma"
200,"Pedro"
201,"NGolo Kante"
202,"Marcos Alonso"
203,"Antonio Rudiger"
204,"Tammy Abraham"
205,"Mason Mount"
206,"Reece James"
207,"Fikayo Tomori"
208,"Billy Gilmour"
209,"Conor Gallagher"
210,"Mateo Kovacic"
211,"Jorginho"
212,"Olivier Giroud"
213,"Callum Hudson-Odoi"
214,"Michy Batshuayi"
215,"Lewis Baker"
216,"Myles Peart-Harris"
217,"Luke McCormick"
218,"Harvey Vale"
219,"Christian Pulisic"
220,"Kenedy"
221,"Tiemoue Bakayoko"
222,"Ruben Loftus-Cheek"
223,"Ross Barkley"
224,"Danny Drinkwater"
225,"Ian Maatsen"
226,"Ethan Ampadu"
227,"Jake Clarke-Salter"
228,"Henry Lawrence"
229,"Juan Castillo"
230,"Emerson"
231,"Kurt Zouma"
232,"Nathan Baxter"
233,"Matt Miazga"
234,"Willy Caballero"
235,"Dujon Sterling"
236,"Tino Anjorin"
237,"Tariq Uwakwe"
238,"Karlo Ziger"
239,"Lewis Bate"
240,"George McEachran"
241,"Hakim Ziyech"
242,"Thiago Silva"
243,"Malang Sarr"
244,"Ben Chilwell"
245,"Timo Werner"
246,"Kai Havertz"

