Player Name,Games,Goals,Starter,Sub,Debut,Last game
Petr Cech,494,,492,2,15/08/2004,24/05/2015
Branislav Ivanovic,377,34,352,25,24/09/2008,28/01/2017
Ashley Cole,338,7,325,13,09/09/2006,11/05/2014
David Luiz,248,18,232,16,06/02/2011,29/05/2019
Michael Essien,256,25,223,33,21/08/2005,11/01/2014
Ramires,251,34,204,47,28/08/2010,10/01/2016
Frank Lampard,648,211,593,55,19/08/2001,04/05/2014
Fernando Torres,172,45,118,54,06/02/2011,11/05/2014
Yossi Benayoun,24,1,7,17,08/08/2010,08/05/2013
Didier Drogba,381,164,288,93,15/08/2004,24/05/2015
John Mikel Obi,372,6,282,90,13/08/2006,11/05/2016
Florent Malouda,229,45,173,56,05/08/2007,19/05/2012
Jose Bosingwa,126,3,111,15,17/08/2008,19/05/2012
Yury Zhirkov,49,1,32,17,23/09/2009,06/04/2011
Paulo Ferreira,217,2,167,50,15/08/2004,19/05/2013
Salomon Kalou,254,60,147,107,13/08/2006,19/05/2012
Ross Turnbull,19,,16,3,28/10/2009,30/01/2013
Daniel Sturridge,96,24,49,47,18/08/2009,17/11/2012
John Terry,717,67,686,31,28/10/1998,21/05/2017
Alex,134,10,115,19,19/08/2007,29/11/2011
Patrick van Aanholt,8,1,3,5,24/03/2010,09/01/2011
Nicolas Anelka,184,59,145,39,12/01/2008,29/11/2011
Henrique Hilario,39,,35,4,18/10/2006,27/08/2011
Jeffrey Bruma,10,,3,7,24/10/2009,09/01/2011
Gael Kakuta,16,,5,11,21/11/2009,09/01/2011
Fabio Borini,8,,1,7,20/09/2009,13/02/2010
Josh McEachran,22,,7,15,15/09/2010,02/01/2012
Ryan Bertrand,57,2,42,15,20/04/2011,29/10/2013
Franco Di Santo,16,,,16,31/08/2008,02/05/2009
Victor Moses,128,18,98,30,15/09/2012,25/10/2018
Asmir Begovic,33,,31,2,08/08/2015,15/05/2017
Robert Huth,62,2,32,30,11/05/2002,07/05/2006
Cesc Fabregas,198,22,158,40,18/08/2014,05/01/2019
Gary Cahill,290,25,270,20,05/02/2012,05/05/2019
Marcos Alonso,149,22,145,4,20/09/2016,01/08/2020
Mark Schwarzer,12,,11,1,24/09/2013,11/05/2014
Steve Sidwell,25,1,13,12,05/08/2007,16/02/2008
Damien Duff,125,19,95,30,13/08/2003,07/05/2006
Eidur Gudjohnsen,263,78,177,86,13/08/2000,02/05/2006
Glen Johnson,72,4,61,11,13/08/2003,15/08/2007
Raul Meireles,48,6,38,10,10/09/2011,25/08/2012
Joe Cole,282,39,189,93,13/08/2003,15/05/2010
Shaun Wright-Phillips,125,10,65,60,07/08/2005,17/08/2008
Boudewijn Zenden,59,4,30,29,19/08/2001,03/05/2003
Carlo Cudicini,216,,210,6,25/08/1999,03/01/2009
William Gallas,225,14,213,12,19/08/2001,07/05/2006
Michael Mancienne,6,,3,3,14/02/2009,24/05/2009
Wayne Bridge,142,4,124,18,13/08/2003,22/12/2008
Scott Parker,28,1,19,9,01/02/2004,18/12/2004
Carlton Cole,32,8,6,26,06/04/2002,07/05/2006
Demba Ba,51,14,23,28,05/01/2013,04/05/2014
Jesper Gronkjaer,119,11,77,42,13/01/2001,15/05/2004
Jacob Mellis,1,,,1,23/11/2010,23/11/2010
Nathaniel Chalobah,15,,5,10,20/09/2016,15/05/2017
Loic Remy,47,12,16,31,13/09/2014,02/04/2016
Tal Ben-Haim,23,,17,6,05/08/2007,16/02/2008
Michael Ballack,167,26,140,27,13/08/2006,15/05/2010
Ricardo Carvalho,210,11,203,7,15/08/2004,24/03/2010
Deco,58,6,42,16,17/08/2008,17/04/2010
Sam Hutchinson,6,,2,4,13/05/2007,13/05/2012
Andriy Shevchenko,77,22,53,24,13/08/2006,18/08/2009
Juliano Belletti,94,5,54,40,25/08/2007,15/05/2010
Nemanja Matic,154,7,133,21,21/11/2009,27/05/2017
Scott Sinclair,14,1,6,8,10/01/2007,03/01/2009
Miroslav Stoch,5,,,5,30/11/2008,14/02/2009
Mineiro,2,,1,1,01/11/2008,12/11/2008
Michael Woods,2,,,2,06/01/2007,28/01/2007
Ricardo Quaresma,5,,1,4,07/02/2009,21/03/2009
Claudio Pizarro,32,2,10,22,05/08/2007,08/03/2008
Claude Makelele,217,2,201,16,13/09/2003,21/05/2008
Lassana Diarra,31,,21,10,19/10/2005,05/08/2007
Ben Sahar,5,,,5,06/01/2007,13/05/2007
Arjen Robben,106,19,74,32,23/10/2004,19/05/2007
Khalid Boulahrouz,23,,19,4,27/08/2006,13/05/2007
Geremi,109,4,74,35,13/08/2003,01/05/2007
Nuno Morais,9,,1,8,08/01/2005,13/05/2007
Hernan Crespo,73,25,47,26,30/08/2003,02/05/2006
Asier Del Horno,34,1,32,2,07/08/2005,02/05/2006
Lenny Pidgeley,2,,1,1,07/05/2005,07/05/2006
Maniche,11,,5,6,22/01/2006,07/05/2006
